index,country,surveyelapse,GS1,GS2,GS3,GS4,GS5,GS6,GS7,GS8,GS9,GS10,GS11,GS12,VCL1,VCL2,VCL3,VCL4,VCL5,VCL7,VCL8,VCL10,VCL11,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,operatingsystem,browser,introelapse,testelapse,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness,Grit,highgrit
1311,SI,322,4,4,1,5,3,5,2,4,5,5,2,5,1,1,1,1,1,0,0,1,1,1,1,1,1,Graduate,Urban,Female,No,34,Left,Christian (Catholic),Heterosexual,Indigenous/Native/White,Yes,Currently married,2,1,2,3,2,4,5,3,3,4,4,2,2,2,3,5,2,4,3,2,3,5,5,4,5,5,5,5,4,5,4,4,2,5,4,4,5,4,4,4,4,3,5,5,5,5,5,5,2,4,5,Windows,Chrome,51,211,3.1,2.8,4.7,4.0,4.4,3.75,1
1312,FR,297,3,2,3,2,2,3,3,2,2,1,2,3,1,1,1,1,1,0,0,1,1,1,1,1,1,High school,Urban,Male,No,39,Right,Agnostic,Heterosexual,Indigenous/Native/White,Yes,Never married,3,1,1,2,1,1,3,1,1,1,1,2,3,2,3,4,4,5,5,4,4,3,2,5,4,2,4,2,4,3,3,5,3,4,5,2,4,5,4,4,3,5,3,4,5,5,5,4,4,5,4,Windows,Firefox,4,882,1.3,3.6,3.2,3.9,4.4,2.3333333333333335,0
1314,US,114,5,4,4,2,4,5,4,4,4,4,4,5,1,1,1,1,1,1,1,1,0,1,1,1,1,Graduate,Suburban,Female,Yes,38,Right,Other,Heterosexual,Indigenous/Native/White,Yes,Currently married,2,1,2,2,2,2,3,2,2,2,1,2,3,2,2,4,2,3,4,2,2,4,2,4,4,3,3,3,4,3,3,5,5,5,5,4,5,4,5,4,4,3,2,4,3,4,4,3,2,4,3,Windows,Chrome,8,122,1.9,2.6,3.3,4.6,3.2,4.083333333333333,1
1315,IN,367,5,2,4,4,4,5,4,4,5,5,2,4,1,1,0,1,1,0,0,1,0,0,1,1,1,Graduate,Suburban,Male,Yes,41,Right,Hindu,Bisexual,Asian,Yes,Currently married,1,4,3,4,2,3,4,4,4,2,2,2,3,2,4,2,1,2,3,2,3,1,4,5,5,5,5,2,3,5,4,4,4,5,4,4,5,5,4,4,5,3,4,4,1,5,5,5,2,4,5,Windows,Firefox,57,250,3.2,2.4,3.9,4.4,3.8,4.0,1
1323,US,145,5,4,4,2,3,4,4,2,4,3,4,4,1,1,1,1,1,0,1,1,0,1,1,1,1,High school,Urban,Female,No,19,Right,Christian (Catholic),Heterosexual,Indigenous/Native/White,No,Never married,2,1,1,3,2,1,4,1,4,2,1,1,2,1,2,5,4,1,2,3,3,4,4,3,5,4,1,4,3,4,3,3,3,3,2,2,5,4,4,2,4,5,5,4,5,4,5,4,4,5,4,Windows,Chrome,784,263,2.0,2.4,3.5,3.2,4.5,3.5833333333333335,1
1324,US,137,3,2,3,2,2,5,2,3,4,2,2,5,1,1,0,1,1,0,0,0,0,0,0,1,1,High school,Urban,Female,Yes,21,Right,Christian (Other),Heterosexual,Black,Yes,Never married,4,1,1,5,1,3,3,2,1,1,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3,3,3,5,4,5,4,4,1,3,2,3,5,5,5,5,3,3,3,5,Linux,Chrome,2,204,1.9,4.8,4.6,3.5,3.9,2.9166666666666665,0
1325,GB,339,5,1,2,4,1,3,1,2,2,4,1,4,1,1,0,1,0,1,1,1,0,0,1,1,1,University,Urban,Female,No,20,Right,Christian (Other),Heterosexual,Indigenous/Native/White,No,Never married,2,4,5,5,4,5,4,5,4,5,5,4,4,3,1,4,4,2,2,3,4,5,5,5,5,5,5,5,5,5,5,2,1,2,3,2,1,2,4,2,4,4,4,5,5,4,5,4,2,5,4,Windows,Chrome,4,232,4.6,3.1,5.0,2.3,4.2,2.5,0
1326,US,135,5,4,2,3,4,5,3,3,5,4,1,5,1,1,0,1,0,0,0,1,0,0,1,1,1,University,Suburban,Female,Yes,21,Right,Other,Heterosexual,Black,No,Never married,1,1,5,5,3,4,5,4,3,1,3,3,4,2,3,5,4,3,3,3,4,5,5,5,4,4,4,5,4,4,3,4,4,4,4,3,5,4,3,4,4,3,3,4,3,4,4,3,2,5,5,Windows,Microsoft Internet Explorer,26,157,3.4,3.4,4.3,3.9,3.6,3.6666666666666665,1
1329,CA,148,4,4,4,4,5,5,4,4,4,4,3,4,1,1,0,1,1,0,0,1,0,0,0,1,1,High school,Rural,Male,No,21,Right,Christian (Other),Heterosexual,Indigenous/Native/White,No,Never married,3,4,3,4,4,4,4,3,2,2,3,4,4,3,3,4,5,4,5,5,5,2,4,5,4,4,4,4,5,4,4,3,4,4,4,3,4,3,3,3,4,3,4,4,2,4,4,4,2,3,4,Windows,Microsoft Internet Explorer,9,165,3.3,4.2,4.0,3.5,3.4,4.083333333333333,1
1332,IN,234,5,3,4,5,2,4,4,4,3,2,3,3,1,1,0,1,1,0,0,1,0,0,1,1,1,Graduate,Urban,Male,No,23,Right,Hindu,Heterosexual,Asian,No,Never married,3,3,3,4,3,3,3,1,3,3,1,2,3,2,3,4,3,3,3,3,3,2,2,3,5,2,4,1,3,3,2,3,2,5,5,5,5,5,5,2,5,3,5,4,1,3,4,5,1,3,3,Windows,Chrome,11,231,2.7,2.9,2.7,4.2,3.2,3.5,1
1334,MY,236,3,3,3,3,2,3,4,3,4,3,3,3,1,1,0,1,1,0,0,1,0,0,1,1,1,University,Rural,Female,No,20,Right,Muslim,Heterosexual,Asian,No,Never married,5,2,1,2,3,2,2,1,3,3,1,2,4,2,2,3,4,3,3,3,3,3,3,3,2,4,4,4,2,2,3,3,4,2,3,1,3,3,3,3,3,3,3,3,3,4,4,3,2,3,4,Linux,Chrome,8,210,2.0,2.9,3.0,2.8,3.2,3.0833333333333335,0
1337,US,164,5,4,4,4,3,4,5,4,5,4,4,5,1,1,0,1,1,0,0,1,0,1,1,1,1,High school,Suburban,Female,Yes,20,Right,Agnostic,Other,Indigenous/Native/White,Yes,Never married,4,3,2,3,3,3,3,1,2,3,2,2,3,2,2,5,2,3,4,3,3,5,5,5,5,5,5,5,5,5,4,4,4,3,5,3,5,5,3,4,4,4,5,4,5,3,4,4,3,5,5,iOS,Safari,5,151,2.5,2.9,4.9,4.0,4.2,4.25,1
1339,US,202,4,3,3,3,4,5,5,2,5,3,1,5,1,1,0,1,1,0,0,1,0,1,1,1,1,High school,Suburban,Male,Yes,20,Right,Christian (Catholic),Heterosexual,Indigenous/Native/White,Yes,Never married,3,1,1,5,1,2,1,2,1,1,1,4,2,5,1,4,1,1,4,1,2,2,3,1,5,4,1,2,2,5,5,5,5,3,4,5,4,5,5,5,4,5,5,4,4,3,4,5,4,5,4,iOS,Safari,16,178,1.6,2.5,3.0,4.5,4.3,3.5833333333333335,1
1340,DE,182,5,3,3,5,4,5,3,4,2,5,1,4,1,1,0,1,1,0,1,1,0,0,1,1,1,University,Urban,Female,No,26,Right,Agnostic,Heterosexual,Indigenous/Native/White,No,Never married,4,3,2,2,4,3,4,3,4,3,3,1,1,1,1,4,2,2,2,1,3,4,3,5,5,4,5,4,4,4,3,4,4,4,4,3,5,4,3,5,4,4,5,5,3,4,5,5,5,5,4,Windows,Chrome,13,200,3.1,1.8,4.1,4.0,4.5,3.6666666666666665,1
1341,TW,619,5,3,1,4,2,4,4,4,3,5,2,5,0,0,0,0,0,0,1,1,0,0,1,0,0,Graduate,Urban,Female,No,28,Left,Agnostic,Homosexual,Asian,Yes,Never married,2,5,4,5,5,5,5,2,5,5,1,2,4,4,5,5,5,1,3,5,5,1,5,1,2,2,3,1,2,5,5,5,3,3,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,4,5,Macintosh,Safari,9,424,4.2,3.9,2.7,4.0,4.9,3.5,1
1342,GB,133,5,2,3,4,1,5,4,4,2,3,4,4,1,1,0,1,1,0,0,1,0,0,1,1,1,High school,Urban,Female,Yes,19,Left,Christian (Protestant),Heterosexual,Indigenous/Native/White,Yes,Never married,1,4,3,3,4,4,3,3,4,4,2,1,2,2,2,5,2,1,1,1,1,2,3,2,4,3,4,3,4,2,2,4,4,4,1,2,5,4,4,3,5,4,5,5,4,5,5,5,5,5,5,Windows,Chrome,2,172,3.4,1.8,2.9,3.6,4.8,3.4166666666666665,1
1344,US,106,5,2,2,3,2,3,1,3,2,1,3,3,0,1,0,1,0,0,0,1,0,0,1,1,0,High school,Suburban,Male,Yes,19,Right,Christian (Other),Heterosexual,Black,No,Never married,3,3,1,4,2,4,2,2,4,2,4,4,5,2,3,1,2,2,4,2,2,4,4,3,4,2,4,3,3,4,3,4,4,4,4,1,4,4,2,3,4,4,4,5,3,5,5,4,4,5,5,Windows,Microsoft Internet Explorer,4,137,2.8,2.7,3.4,3.4,4.4,2.5,0
1347,AU,185,3,2,2,3,2,4,3,3,2,3,3,2,1,1,1,1,1,0,0,1,0,0,1,1,1,High school,Rural,Male,Yes,31,Right,Agnostic,Heterosexual,Indigenous/Native/White,Yes,Currently married,4,1,1,3,2,3,3,2,3,2,3,3,3,2,2,3,3,3,3,3,3,5,5,3,4,4,5,5,4,4,3,3,3,3,2,3,2,3,3,3,3,3,5,4,4,3,5,4,3,4,4,iOS,Safari,44,161,2.3,2.8,4.2,2.8,3.9,2.6666666666666665,0
1348,US,263,5,3,4,2,2,5,3,3,3,5,4,5,1,1,0,1,1,0,1,1,0,1,1,1,1,Graduate,Suburban,Female,Yes,23,Right,Christian (Protestant),Heterosexual,Asian,No,Never married,3,3,4,4,2,3,2,4,2,4,3,4,4,3,2,4,4,4,4,4,4,5,5,4,5,5,4,5,5,5,4,4,1,5,5,1,2,4,2,4,4,4,4,3,3,4,4,5,2,5,4,Windows,Chrome,13,220,3.1,3.7,4.7,3.2,3.8,3.6666666666666665,1
1349,US,156,5,3,4,1,5,5,5,4,4,5,3,5,1,1,1,1,1,1,1,1,0,1,1,1,1,Graduate,Suburban,Male,Yes,60,Right,Christian (Protestant),Heterosexual,Indigenous/Native/White,No,Currently married,3,1,1,4,4,3,3,1,2,1,2,5,5,4,5,5,5,5,5,5,5,4,3,5,3,3,3,4,4,1,1,5,5,3,5,4,5,4,5,4,4,5,5,4,5,4,5,4,1,5,5,Macintosh,Chrome,63,188,2.2,4.9,3.1,4.4,4.3,4.083333333333333,1
1357,IE,287,3,1,1,3,2,4,2,2,3,2,2,3,1,1,0,1,1,0,0,1,0,1,0,1,1,High school,Rural,Male,Yes,19,Right,Christian (Catholic),Heterosexual,Indigenous/Native/White,No,Never married,3,3,5,3,3,4,4,5,1,2,2,1,4,1,3,1,4,2,3,4,3,5,5,3,4,5,3,5,4,4,3,2,1,3,2,1,1,4,3,3,3,3,1,4,4,3,4,2,5,5,3,Windows,Chrome,10,249,3.2,2.6,4.1,2.3,3.4,2.3333333333333335,0
1358,IN,137,3,3,4,3,4,3,5,3,3,3,5,3,1,1,0,1,1,0,0,1,0,1,1,1,1,Graduate,Urban,Female,No,21,Right,Hindu,Asexual,Asian,Yes,Never married,2,4,5,3,4,5,5,3,4,5,3,3,3,3,4,2,3,2,2,1,3,5,3,4,5,5,5,3,5,5,5,3,4,3,3,5,3,3,3,3,3,4,3,5,2,5,5,5,3,4,5,Windows,Chrome,3,141,4.1,2.6,4.5,3.3,4.1,3.5,1
1360,CA,136,5,2,3,4,4,4,4,5,5,5,3,3,1,1,0,1,1,0,0,1,1,1,1,1,1,University,Suburban,Male,No,40,Right,Atheist,Heterosexual,Indigenous/Native/White,No,Never married,3,5,5,5,4,5,5,5,4,5,5,2,3,2,3,2,2,3,3,3,3,4,5,5,5,5,4,5,2,5,5,5,4,5,5,3,5,4,2,4,5,5,5,4,5,4,5,5,2,4,4,Windows,Chrome,12,168,4.8,2.6,4.5,4.2,4.3,3.9166666666666665,1
1361,US,115,5,1,2,2,3,5,2,2,5,3,3,4,1,1,1,1,1,0,0,1,0,1,1,1,1,,Suburban,Female,Yes,18,Right,Christian (Protestant),Heterosexual,Indigenous/Native/White,No,,3,1,2,2,2,3,2,2,4,3,1,2,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,2,3,2,3,4,2,4,2,4,3,4,4,5,2,2,4,4,3,4,4,2,4,Windows,Chrome,6,153,2.2,2.3,2.5,3.2,3.4,3.0833333333333335,0
1362,US,200,3,3,4,1,3,5,3,3,2,1,3,4,1,1,0,1,1,0,0,1,0,0,1,1,1,High school,Urban,Female,Yes,33,Right,Atheist,Heterosexual,Indigenous/Native/White,No,Currently married,3,1,2,2,3,3,2,2,2,4,2,1,2,1,1,2,1,1,1,1,1,5,4,2,4,4,5,4,4,4,4,4,2,5,2,1,3,4,3,4,3,3,3,5,3,3,5,3,3,4,3,Macintosh,Chrome,252,201,2.3,1.2,4.0,3.1,3.5,2.9166666666666665,0
1363,US,165,3,2,3,3,2,4,2,2,4,2,3,4,1,1,0,1,0,0,0,1,0,0,1,1,1,High school,Suburban,Female,Yes,19,Right,Agnostic,Heterosexual,Indigenous/Native/White,No,Never married,3,4,3,2,3,2,4,4,2,2,1,2,4,1,2,4,3,1,3,1,3,3,4,2,3,5,1,4,4,4,2,3,4,5,3,3,5,4,3,5,3,2,4,4,4,3,4,3,2,4,3,Macintosh,Chrome,15,410,2.7,2.4,3.2,3.8,3.3,2.8333333333333335,0
1365,SA,189,5,1,1,4,1,5,3,2,4,5,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,University,Urban,Male,Yes,28,Right,Muslim,Heterosexual,Arab,No,Never married,5,1,3,3,3,4,3,4,4,5,3,2,3,3,3,3,3,2,2,3,2,4,3,5,4,3,3,2,3,3,3,3,4,4,3,3,3,4,3,4,4,2,3,5,3,5,5,5,1,4,5,Windows,Microsoft Internet Explorer,5,191,3.3,2.6,3.3,3.5,3.8,3.0833333333333335,0
1379,US,198,4,3,4,3,4,4,4,4,4,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,Graduate,Rural,Female,Yes,47,Right,Agnostic,Heterosexual,Indigenous/Native/White,Yes,Previously married,2,1,5,1,3,3,4,2,4,2,2,2,1,1,1,3,3,3,3,2,1,5,4,5,4,5,2,5,4,4,3,1,3,4,2,2,4,4,4,2,4,4,5,4,5,4,4,4,4,4,3,Windows,Microsoft Internet Explorer,8,236,2.7,2.0,4.1,3.0,4.1,3.9166666666666665,1
1384,TN,496,5,1,1,5,1,5,4,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Graduate,Urban,Male,No,25,Right,Christian (Catholic),Homosexual,Arab,Yes,Never married,3,4,4,1,2,3,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,3,1,4,4,1,4,2,4,4,5,4,1,5,5,1,4,5,3,3,5,5,5,5,5,5,5,5,5,5,5,Windows,Firefox,8,194,1.9,1.5,3.2,3.6,5.0,3.8333333333333335,1
1386,IT,132,3,2,3,4,2,3,3,2,2,1,3,3,1,1,0,1,1,0,0,1,0,1,1,1,1,University,Urban,Male,No,24,Left,Muslim,Heterosexual,Indigenous/Native/White,No,Never married,2,1,3,2,2,2,3,1,1,5,2,2,3,2,3,2,2,1,2,2,3,5,3,4,5,4,4,4,3,4,4,3,2,4,3,3,2,4,3,3,4,3,5,4,5,3,4,4,3,3,4,Windows,Chrome,3,159,2.2,2.2,4.0,3.1,3.8,2.5833333333333335,0
1390,US,288,4,5,4,3,4,4,3,4,3,3,4,3,1,1,0,1,1,0,0,1,0,1,1,1,1,High school,Urban,Female,Yes,42,Right,Christian (Other),Heterosexual,Indigenous/Native/White,Yes,Currently married,3,2,3,2,2,2,3,2,1,1,1,4,3,2,3,4,5,3,3,3,4,5,3,5,3,3,3,3,4,4,5,4,5,3,5,3,4,4,3,4,4,2,3,2,4,3,2,4,1,3,3,Windows,Chrome,55,211,1.9,3.4,3.8,3.9,2.7,3.6666666666666665,1
1392,US,447,5,2,1,3,1,5,2,2,4,4,2,4,0,1,0,1,0,0,0,0,0,0,0,1,1,High school,Urban,Male,Yes,22,Right,Other,Heterosexual,Other,No,Never married,3,5,5,3,3,4,3,2,5,5,1,3,5,2,3,3,5,4,4,3,3,2,4,1,4,2,5,5,3,5,5,3,2,5,1,1,3,3,4,4,5,4,4,5,4,5,5,4,3,3,5,iOS,Safari,3,333,3.6,3.5,3.6,3.1,4.2,2.9166666666666665,0
1393,US,168,4,1,2,5,3,5,2,2,4,3,4,5,1,1,0,1,1,0,0,1,0,0,1,1,1,High school,Urban,Female,Yes,18,Right,Agnostic,Heterosexual,Indigenous/Native/White,No,Never married,4,3,3,4,4,3,3,3,3,3,1,2,3,2,3,4,4,3,5,4,4,4,5,5,5,4,5,4,3,4,4,3,2,5,4,3,4,4,5,5,5,3,5,4,4,4,5,4,2,3,5,Windows,Chrome,19,287,3.0,3.4,4.3,4.0,3.9,3.3333333333333335,1
1402,US,761,4,1,4,5,3,5,3,3,4,4,4,5,1,1,0,1,1,0,1,1,0,1,1,1,1,Graduate,Rural,Male,Yes,51,Right,Buddhist,Heterosexual,Indigenous/Native/White,Yes,Currently married,2,5,5,5,5,5,5,4,3,5,5,5,5,5,4,2,4,4,5,5,5,5,5,5,5,5,4,5,4,4,5,3,2,4,4,1,1,3,4,2,2,5,4,5,5,5,5,5,4,5,5,Windows,Chrome,2,307,4.7,4.4,4.7,2.6,4.8,3.75,1
1405,US,153,5,3,3,5,4,5,4,4,5,5,3,5,1,1,0,1,1,0,0,1,0,1,1,1,1,University,Suburban,Male,Yes,21,Right,Christian (Other),Asexual,Indigenous/Native/White,Yes,Never married,2,3,4,5,4,4,5,5,3,3,4,5,4,5,4,4,4,3,4,3,4,4,5,3,4,3,3,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,2,5,4,5,5,Windows,Firefox,146,253,4.0,4.0,4.0,5.0,4.2,4.25,1
1406,US,158,4,1,1,3,1,5,4,1,1,1,1,2,1,1,1,1,1,0,1,1,0,1,1,1,1,University,Urban,Female,Yes,20,Right,,Homosexual,Other,No,Never married,2,1,4,1,1,2,4,1,5,1,1,1,1,1,1,4,3,4,4,1,2,4,2,4,2,4,1,2,1,2,2,1,2,5,2,1,1,3,2,4,4,4,5,2,5,4,4,2,4,5,5,Macintosh,Chrome,5,160,2.1,2.2,2.4,2.5,4.0,2.0833333333333335,0
1407,US,148,3,2,3,2,1,1,3,1,2,2,2,3,1,1,1,1,1,1,0,1,0,1,1,1,1,High school,Suburban,Female,Yes,18,Right,Christian (Catholic),Heterosexual,Asian,No,Never married,3,2,4,2,3,3,5,1,1,1,1,1,3,1,1,1,1,1,3,1,1,5,3,1,2,4,1,4,2,2,1,1,2,4,1,1,1,4,2,1,4,3,3,3,2,3,2,5,3,4,3,Windows,Firefox,43,528,2.3,1.4,2.5,2.1,3.1,2.0833333333333335,0
1410,US,181,3,2,2,2,1,4,2,1,2,2,3,3,1,1,0,1,1,0,0,1,0,1,1,1,1,High school,Suburban,Female,Yes,18,Right,Agnostic,Heterosexual,Indigenous/Native/White,No,Never married,2,2,2,3,2,1,2,1,2,2,1,1,3,1,1,1,1,1,1,2,1,4,3,4,4,5,3,4,3,3,3,2,2,4,3,1,2,4,3,3,4,3,5,4,5,3,4,4,2,5,3,iOS,Safari,34,551,1.8,1.3,3.6,2.8,3.8,2.25,0
1412,CA,263,4,1,1,4,1,5,3,2,3,1,2,3,1,1,1,1,1,0,1,1,0,1,1,1,1,University,Urban,Female,Yes,21,Right,Atheist,Asexual,Indigenous/Native/White,No,Never married,3,1,1,3,1,2,2,3,1,2,1,4,4,3,3,4,5,4,5,2,3,2,4,4,3,2,1,3,2,2,3,3,2,4,4,3,4,3,4,4,3,4,5,4,4,4,4,4,4,4,5,Windows,Microsoft Internet Explorer,3,297,1.7,3.7,2.6,3.4,4.2,2.5,0
1414,DE,394,5,1,1,3,1,3,2,2,2,3,2,3,1,0,0,1,1,0,0,1,0,0,1,1,1,High school,Rural,Female,No,20,Right,Atheist,Bisexual,Indigenous/Native/White,No,Never married,2,1,5,4,2,4,5,3,3,3,2,4,4,2,1,3,3,1,1,3,2,5,5,4,5,5,4,5,4,5,4,4,3,3,1,1,2,3,2,2,3,3,4,5,4,4,5,4,4,5,5,Windows,Firefox,109,437,3.2,2.4,4.6,2.4,4.3,2.3333333333333335,0
1415,GB,245,1,1,1,3,3,1,1,1,2,5,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,High school,Rural,Male,Yes,39,Right,Christian (Catholic),Heterosexual,Indigenous/Native/White,Yes,Never married,11,1,5,5,5,1,5,3,5,1,1,1,1,5,5,1,1,1,1,1,1,5,5,5,5,1,1,5,5,5,5,1,5,1,5,5,5,1,1,1,5,3,5,5,1,1,5,1,1,5,1,Windows,Chrome,9,276,3.2,1.8,4.2,3.0,2.8,2.0,0
1416,DO,123,4,1,1,4,1,3,1,1,4,3,1,4,1,1,0,1,1,0,0,1,0,1,1,1,1,High school,Suburban,Male,Yes,19,Right,Agnostic,Homosexual,Other,No,Never married,1,5,4,2,1,3,4,1,2,2,1,1,4,1,1,1,4,1,5,2,5,5,5,2,5,1,3,5,5,5,5,2,1,5,1,2,4,5,3,1,5,5,5,5,5,5,5,5,1,5,5,Macintosh,Chrome,3,125,2.5,2.5,4.1,2.9,4.6,2.3333333333333335,0
1417,US,135,4,3,4,4,3,5,4,4,4,4,4,5,1,1,1,1,1,1,1,1,0,1,1,1,1,Graduate,Suburban,Female,Yes,41,Right,Christian (Protestant),Heterosexual,Indigenous/Native/White,Yes,Currently married,2,3,4,5,4,4,4,4,4,4,4,2,3,2,2,3,3,3,3,2,2,5,5,4,5,5,5,5,5,5,4,4,3,5,3,3,3,5,5,5,4,5,4,4,4,5,4,3,3,5,5,Macintosh,Safari,3,153,4.0,2.5,4.8,4.0,4.2,4.0,1
1418,US,184,4,3,3,2,2,4,4,3,3,2,3,4,1,1,0,1,1,0,0,1,1,1,1,1,1,High school,Suburban,Male,Yes,23,Right,Christian (Other),Homosexual,Indigenous/Native/White,No,Never married,3,3,2,2,2,2,3,3,2,3,2,2,3,2,2,3,2,3,3,3,3,2,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,4,3,5,3,4,3,4,4,3,Windows,Chrome,13,233,2.4,2.6,3.5,3.6,3.6,3.0833333333333335,0
1419,CA,141,4,2,4,2,1,3,1,1,4,2,3,3,1,1,1,1,1,0,1,1,0,0,1,1,1,University,Suburban,Female,No,20,Left,Christian (Catholic),Heterosexual,Indigenous/Native/White,Yes,Never married,3,1,3,2,3,1,1,1,1,4,1,2,2,2,3,1,2,1,1,1,1,3,4,2,4,5,4,1,4,5,4,3,1,4,3,4,2,2,3,4,4,5,5,4,5,5,5,5,5,4,5,Windows,Microsoft Internet Explorer,4,325,1.8,1.6,3.6,3.0,4.8,2.5,0
1420,UA,134,4,2,1,4,1,3,3,2,4,2,3,2,1,1,0,1,1,0,1,1,1,0,1,1,1,University,Urban,Female,No,24,Right,Christian (Other),Heterosexual,Indigenous/Native/White,Yes,Never married,2,4,5,4,4,4,5,4,4,4,4,2,3,1,2,2,2,2,2,2,3,5,5,5,5,5,4,5,4,5,4,3,2,3,2,1,2,3,3,2,2,5,4,5,4,3,5,4,4,5,4,Windows,Microsoft Internet Explorer,8,142,4.2,2.1,4.7,2.3,4.3,2.5833333333333335,0
1421,AT,141,3,2,1,4,1,5,2,4,2,1,3,3,1,1,0,1,1,0,1,1,0,0,1,0,1,University,Rural,Female,No,28,Right,Agnostic,Bisexual,Indigenous/Native/White,No,Never married,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,1,4,3,2,1,5,3,1,3,4,4,5,5,3,4,4,2,5,4,Windows,Opera,11,202,3.0,3.3,3.9,2.5,4.0,2.5833333333333335,0
1424,US,175,5,4,4,5,3,5,5,4,5,5,3,5,1,1,0,1,1,0,1,1,0,0,0,1,1,University,Suburban,Female,No,22,Right,Atheist,Heterosexual,Other,Yes,Never married,3,3,4,4,3,4,5,4,1,4,4,3,4,2,2,3,2,2,2,3,2,5,5,4,5,5,5,4,5,5,5,3,2,5,2,2,3,2,4,3,5,4,4,4,4,4,3,5,4,5,4,Windows,Chrome,13,273,3.6,2.5,4.8,3.1,4.1,4.416666666666667,1
1426,GB,181,5,3,4,3,4,5,4,3,3,3,5,4,1,1,0,1,1,0,0,1,0,0,0,1,1,High school,Urban,Female,Yes,41,Right,Christian (Other),Heterosexual,Indigenous/Native/White,No,Never married,2,1,5,2,3,2,5,1,2,2,1,1,4,1,1,1,2,2,2,2,2,5,4,2,4,5,4,5,5,5,4,2,3,4,3,1,2,3,5,2,3,4,3,4,3,4,4,4,3,5,4,Windows,Microsoft Internet Explorer,44,225,2.4,1.8,4.3,2.8,3.8,3.8333333333333335,1
1427,US,188,3,3,3,3,2,4,2,2,3,3,3,3,1,1,0,1,1,0,0,1,0,1,1,1,1,High school,Suburban,Male,Yes,31,Right,Christian (Catholic),Heterosexual,Other,No,Never married,3,4,2,3,3,4,2,3,2,2,2,3,4,3,1,3,3,4,4,3,3,4,3,2,4,4,4,4,4,4,3,3,5,4,3,2,3,4,3,4,3,4,2,3,2,3,4,3,2,4,2,Windows,Microsoft Internet Explorer,23,253,2.7,3.1,3.6,3.4,2.9,2.8333333333333335,0
1430,US,237,5,1,4,4,5,5,3,4,4,5,2,5,1,1,1,1,1,0,1,1,0,1,1,1,1,University,Urban,Female,Yes,21,Both,Other,Heterosexual,Indigenous/Native/White,Yes,Never married,3,3,3,3,5,3,3,3,2,2,2,3,3,3,5,1,2,5,4,1,5,2,4,4,4,3,2,3,5,4,2,5,3,4,4,2,4,3,5,3,4,5,5,5,5,5,5,5,5,5,5,iOS,Unknown,575,554,2.9,3.2,3.3,3.7,5.0,3.9166666666666665,1
1431,US,265,3,2,2,2,3,4,2,2,3,3,3,4,1,0,0,1,1,0,0,1,0,0,0,1,1,Less than high school,Suburban,Female,Yes,18,Right,Christian (Catholic),Heterosexual,Indigenous/Native/White,Yes,Never married,4,2,2,4,5,4,4,4,3,4,3,1,3,1,2,3,2,3,2,3,3,5,4,5,5,4,4,4,4,5,4,3,5,3,4,3,4,5,3,4,3,2,3,4,3,3,5,3,2,4,3,Windows,Chrome,14,374,3.5,2.3,4.4,3.7,3.2,2.75,0
1433,US,93,4,3,4,3,4,3,3,4,4,5,3,3,1,1,1,0,1,1,1,1,1,1,1,1,1,University,Suburban,Male,Yes,50,Right,Atheist,Heterosexual,Indigenous/Native/White,No,Currently married,1,3,4,4,3,4,5,4,3,4,3,3,4,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,3,3,4,5,5,5,4,5,4,4,4,5,Windows,Firefox,9,101,3.7,2.9,4.0,3.4,4.5,3.5833333333333335,1
1434,US,154,3,4,4,3,3,4,4,4,4,4,3,3,1,0,0,1,1,0,1,1,0,1,1,1,1,High school,Rural,Female,Yes,19,Right,Other,Heterosexual,Indigenous/Native/White,No,Never married,3,1,3,2,2,3,3,3,2,2,3,5,3,3,3,4,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,4,3,4,3,3,4,4,4,3,3,4,3,4,3,3,4,3,3,2,4,Windows,Chrome,26,123,2.4,2.9,2.9,3.5,3.3,3.5833333333333335,1
